Site,Mine Year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,2000,0.813657184,0.816300612,0.852009614,0.818618396,0.797758545,0.779170098,0.491207607,0.413452421,0.256679937,0.221329175,0.177209914,0.166122799,0.204301255,0.414836417,0.441818816,0.470952143,0.557436325,0.612471798,0.607722608,0.677123255,0.68520172,0.58344259,0.672775652,0.512119145,0.624129932,0.723431214,0.686401454,0.75002584,0.705515249,0.773215497,0.648555233,0.667707764,0.654812691,0.732539626,0.753543165,0.766985259
2,2000,0.51225619,0.564713964,0.507685158,0.538414977,0.459064622,0.456504497,0.2160617,0.161354991,0.17542427,0.216622567,0.391594107,0.202884726,0.250429538,0.145761501,0.219678055,0.226333396,0.345073653,0.425611418,0.487322012,0.570616251,0.63473381,0.655543693,0.703900211,0.647659224,0.670821797,0.740059339,0.759143101,0.773454622,0.720512818,0.811245164,0.773995059,0.780112707,0.806900183,0.8159068,0.832910536,0.834178113
3,2005,0.663904379,0.74470116,0.725265555,0.742237012,0.565621215,0.405359564,0.178956432,0.209882716,0.297217574,0.319120943,0.352768802,0.312233381,0.383911229,0.381618976,0.510315923,0.400362007,0.448138039,0.482782332,0.502181637,0.64943614,0.694707715,0.594571307,0.682054532,0.512873615,0.574035269,0.662666002,0.590707894,0.735299101,0.549915685,0.729402243,0.701816702,0.674843372,0.763122783,0.742294437,0.664467564,0.759190602
4,1985,0.300479708,0.561973398,0.568876075,0.65172819,0.642139057,0.637316389,0.713297296,0.713009999,0.696871735,0.701923061,0.794004758,0.800079459,0.747050862,0.687062509,0.771048609,0.763664874,0.794006338,0.78400721,0.778880309,0.826389839,0.803629797,0.840552403,0.809479363,0.818575537,0.836489247,0.81473716,0.850547615,0.858393632,0.865430031,0.862884189,0.869919513,0.876178747,0.885366688,0.884022537,0.869458871,0.887585327
5,1985,0.28293769,0.624307654,0.614032911,0.543081285,0.540082561,0.579305929,0.632534227,0.741923516,0.650096914,0.694547796,0.734911423,0.683334969,0.736830048,0.729190295,0.669753731,0.67774796,0.756483995,0.786405044,0.743758177,0.800257059,0.794662356,0.800633917,0.807326782,0.787843629,0.800637512,0.791516832,0.82919275,0.840876145,0.829183187,0.875659447,0.855284121,0.839481039,0.868365609,0.881940281,0.859676256,0.875480179
6,2000,0.807936482,0.799938698,0.862818738,0.836312393,0.840009201,0.798255659,0.839695413,0.795821963,0.770896356,0.650568907,0.225621973,0.206978454,0.282066685,0.430283555,0.506174423,0.466480603,0.492459215,0.59744654,0.588853949,0.666461249,0.697858157,0.620727418,0.696667048,0.649928522,0.692833389,0.75382873,0.755875845,0.69714062,0.651722086,0.747304073,0.752457977,0.809241155,0.817162393,0.818225569,0.80538551,0.799574287
7,2005,0.731771555,0.710735694,0.75622668,0.70646282,0.723107924,0.737165681,0.727703958,0.745828409,0.757057895,0.793633605,0.784819124,0.75612287,0.793423812,0.796730365,0.805560863,0.800707986,0.828774816,0.814827136,0.802213714,0.814299099,0.613509218,0.377736431,0.406359725,0.423396836,0.411196986,0.479746163,0.60461327,0.672238701,0.658236801,0.744029038,0.729985612,0.731416344,0.744124495,0.769592173,0.775513689,0.785117186
8,1985,0.348484111,0.472015746,0.56731282,0.601203418,0.577867414,0.596002373,0.697261329,0.733362692,0.722434983,0.68136954,0.734934499,0.709891602,0.772134523,0.720551296,0.723314711,0.68995516,0.739098161,0.772801532,0.766019517,0.800713584,0.780199455,0.769217822,0.780835047,0.741653114,0.770484659,0.791269672,0.791891383,0.816654999,0.807060715,0.845590882,0.833574231,0.838376442,0.845124129,0.860998462,0.852175081,0.85351394
9,1995,0.805269948,0.811298233,0.834827276,0.81426258,0.81214196,0.802754308,0.803523081,0.803093817,0.804192785,0.804116596,0.314270525,0.445021293,0.55086853,0.642684275,0.709453688,0.627105403,0.666874539,0.704133696,0.68825203,0.710496509,0.730972945,0.724473424,0.757176395,0.745803701,0.772424178,0.78034278,0.804076488,0.823416761,0.794532034,0.859919354,0.860977159,0.858883981,0.869041702,0.882314189,0.878544714,0.883480725
10,2000,0.714061112,0.750037065,0.751901567,0.788502599,0.771525456,0.761256292,0.791502217,0.766072902,0.787138929,0.788349462,0.775816816,0.797808875,0.819360406,0.814228548,0.813202657,0.745626811,0.428318378,0.503502427,0.417335217,0.650486272,0.702671931,0.626270426,0.70641334,0.650573111,0.664154071,0.744544339,0.746984798,0.785477308,0.790751482,0.798551939,0.815782742,0.823357826,0.853882613,0.849254376,0.847896861,0.853003189
