species,count,sample,Burned
Bromus tectorum,14,1,1
Artemisia tridentata,2,1,1
Wyethia mollis,0,1,1
Ephedra viridis,1,1,1
Pleiacanthus spinosus,2,1,1
Onopordum acanthium,1,1,1
Ericameria nauseosa,1,1,1
Purshia tridentata,1,1,1
Tetradymia canescens,3,1,1
Elymus elymoides,1,1,1
Bare ground,4,1,1
Chrysothamnus viscidiflorus,0,1,1
Carduus nutans,0,1,1
Achnatherum hymenoides,0,1,1
Lupinus nevadensis,0,1,1
Poa secunda,0,1,1
Pascopyrum smithii,0,1,1
Sisymbrium altissimum,0,1,1
Salsola iberica,0,1,1
Poa bulbosa,0,1,1
Taeniatherum caput-medusae,0,1,1
Prunus andersonii,0,1,1
Cirsium spp. 1,0,1,1
Chrysothamnus viscidiflorus,6,2,1
Artemisia tridentata,1,2,1
Bromus tectorum,16,2,1
Tetradymia canescens,4,2,1
Purshia tridentata,0,2,1
Wyethia Mollis,0,2,1
Carduus nutans,1,2,1
Ericameria nauseosa,0,2,1
Ephedra viridis,0,2,1
Pleiacanthus spinosus,0,2,1
Elymus elymoides,0,2,1
Bare Ground,0,2,1
Achnatherum hymenoides,0,2,1
Lupinus nevadensis,0,2,1
Poa secunda,0,2,1
Pascopyrum smithii,0,2,1
Sisymbrium altissimum,0,2,1
Salsola iberica,0,2,1
Poa bulbosa,0,2,1
Taeniatherum caput-medusae,0,2,1
Prunus andersonii,0,2,1
Cirsium spp. 1,0,2,1
Onopordum acanthium,0,2,1
Bare Ground,2,3,1
Purshia tridentata,1,3,1
Bromus tectorum,8,3,1
Achnatherum hymenoides,0,3,1
Lupinus nevadensis,3,3,1
Wyethia mollis,0,3,1
Ericameria nauseosa,2,3,1
Artemisia tridentata,0,3,1
Poa secunda,3,3,1
Pleiacanthus spinosus,1,3,1
Elymus elymoides,2,3,1
Pascopyrum smithii,8,3,1
Ephedra viridis,0,3,1
Tetradymia canescens,0,3,1
Chrysothamnus viscidiflorus,0,3,1
Carduus nutans,0,3,1
Sisymbrium altissimum,0,3,1
Salsola iberica,0,3,1
Poa bulbosa,0,3,1
Taeniatherum caput-medusae,0,3,1
Prunus andersonii,0,3,1
Cirsium spp. 1,0,3,1
Onopordum acanthium,0,3,1
Bare Ground,9,4,1
Elymus elymoides,2,4,1
Bromus tectorum,8,4,1
Carduus nutans,2,4,1
Artemisia tridentata,2,4,1
Sisymbrium altissimum,2,4,1
Poa secunda,3,4,1
Salsola iberica,2,4,1
Purshia Tridentata,0,4,1
Ericameria nauseosa,0,4,1
Poa bulbosa,0,4,1
Chrysothamnus viscidiflorus,0,4,1
Wyethia mollis,0,4,1
Ephedra viridis,0,4,1
Pleiacanthus spinosus,0,4,1
Tetradymia canescens,0,4,1
Achnatherum hymenoides,0,4,1
Lupinus nevadensis,0,4,1
Pascopyrum smithii,0,4,1
Poa bulbosa,0,4,1
Taeniatherum caput-medusae,0,4,1
Prunus andersonii,0,4,1
Cirsium spp. 1,0,4,1
Onopordum acanthium,0,4,1
Bromus tectorum,16,5,1
Artemisia tridentata,6,5,1
Elymus elymoides,3,5,1
Ephedra viridis,2,5,1
Purshia tridentata,5,5,1
Ericameria nauseosa,4,5,1
Bare Ground,2,5,1
Wyethia mollis,0,5,1
Pleiacanthus spinosus,0,5,1
Tetradymia canescens,0,5,1
Chrysothamnus viscidiflorus,0,5,1
Carduus nutans,0,5,1
Achnatherum hymenoides,0,5,1
Lupinus nevadensis,0,5,1
Poa secunda,0,5,1
Pascopyrum smithii,0,5,1
Sisymbrium altissimum,0,5,1
Salsola iberica,0,5,1
Poa bulbosa,0,5,1
